feature,rf_importance,gb_importance
pnl_roll3,0.19138172525467892,0.21874848022609505
winrate_lag1,0.18866889316481986,0.13688668907100215
ls_ratio_lag1,0.13254913853937905,0.08987056858305094
pnl_lag1,0.13194201178215867,0.08133051047927395
pnl_lag2,0.12355581752675798,0.10756239985502775
size_lag1,0.10548112554326972,0.2263602537584554
trades_lag1,0.09935307657180885,0.11097973927823104
sentiment_lag1,0.013964430480504624,0.019272629088611545
sentiment_enc,0.013103781136622349,0.008988729660252135
